Country,Region,Level of transmission,Week,"''"
Austria,Vorarlberg,Sporadic,2020-W28,-
Austria,Vorarlberg,Sporadic,2020-W29,-
Austria,Vorarlberg,Clusters,2020-W30,-
Austria,Vorarlberg,Clusters,2020-W31,-
Austria,Vorarlberg,Sporadic,2020-W32,-
Austria,Vorarlberg,Clusters,2020-W33,-
Austria,Vorarlberg,Clusters,2020-W34,-
Austria,Vorarlberg,Community,2020-W35,-
Austria,Vorarlberg,Community,2020-W36,-
Austria,Vorarlberg,Community,2020-W37,-
Austria,Vorarlberg,Community,2020-W38,-
Austria,Vorarlberg,Not reported,2020-W39,-
Austria,Wien,Not reported,2020-W01,-
Austria,Wien,Not reported,2020-W02,-
Austria,Wien,Not reported,2020-W03,-
Austria,Wien,Not reported,2020-W04,-
Austria,Wien,Not reported,2020-W05,-
Austria,Wien,Not reported,2020-W06,-
Austria,Wien,Not reported,2020-W07,-
Austria,Wien,Not reported,2020-W08,-
Austria,Wien,Sporadic,2020-W09,-
Austria,Wien,Sporadic,2020-W10,-
Austria,Wien,Clusters,2020-W11,-
Austria,Wien,Community,2020-W12,-
Austria,Wien,Community,2020-W13,-
Austria,Wien,Community,2020-W14,-
Austria,Wien,Clusters,2020-W15,-
Austria,Wien,Clusters,2020-W16,-
Austria,Wien,Clusters,2020-W17,-
Austria,Wien,Community,2020-W18,-
Austria,Wien,Community,2020-W19,-
Austria,Wien,Community,2020-W20,-
Austria,Wien,Community,2020-W21,-
Austria,Wien,Community,2020-W22,-
Austria,Wien,Community,2020-W23,-
Austria,Wien,Community,2020-W24,-
Austria,Wien,Community,2020-W25,-
Austria,Wien,Community,2020-W26,-
Austria,Wien,Community,2020-W27,-
Austria,Wien,Community,2020-W28,-
Austria,Wien,Community,2020-W29,-
Austria,Wien,Community,2020-W30,-
Austria,Wien,Community,2020-W31,-
Austria,Wien,Community,2020-W32,-
Austria,Wien,Community,2020-W33,-
Austria,Wien,Community,2020-W34,-
Austria,Wien,Community,2020-W35,-
Austria,Wien,Community,2020-W36,-
Austria,Wien,Community,2020-W37,-
Austria,Wien,Community,2020-W38,-
Austria,Wien,Not reported,2020-W39,-
Belgium,Prov. Antwerpen,Not reported,2020-W01,-
Belgium,Prov. Antwerpen,Not reported,2020-W02,-
Belgium,Prov. Antwerpen,Not reported,2020-W03,-
Belgium,Prov. Antwerpen,Not reported,2020-W04,-
Belgium,Prov. Antwerpen,Not reported,2020-W05,-
Belgium,Prov. Antwerpen,Not reported,2020-W06,-
Belgium,Prov. Antwerpen,Not reported,2020-W07,-
Belgium,Prov. Antwerpen,Not reported,2020-W08,-
Belgium,Prov. Antwerpen,Not reported,2020-W09,-
Belgium,Prov. Antwerpen,Not reported,2020-W10,-
